,id,label,frame,outside,occluded,xtl,ytl,w,h
1370,1,Human,13,0,0,193.79,416.41,126.16,321.77000000000004
1371,1,Human,14,0,0,189.46,415.69,125.23999999999998,318.06
1372,1,Human,15,0,0,185.36,416.75,125.40999999999997,316.0
1373,1,Human,16,0,0,182.25,418.63,127.09000000000003,316.99
1374,1,Human,17,0,0,180.27,418.73,129.66,319.8399999999999
1375,1,Human,18,0,0,178.06,418.74,132.26,322.28
1376,1,Human,19,0,0,177.05,421.28,133.07,319.6600000000001
1377,1,Human,20,0,0,174.53,422.87,134.84,318.90999999999997
1378,1,Human,21,0,0,173.1,423.42,136.67,318.18
1379,1,Human,22,0,0,171.22,422.66,139.73,320.66
1380,1,Human,23,0,0,170.67,422.81,141.81000000000003,321.13000000000005
1381,1,Human,24,0,0,171.97,424.63,139.03,309.13
1382,1,Human,25,0,0,173.16,425.52,138.52,302.99
1383,1,Human,26,0,0,175.99,425.59,137.25,296.48999999999995
1384,1,Human,27,0,0,177.25,426.03,135.03999999999996,287.79999999999995
1385,1,Human,28,0,0,176.93,422.96,140.65000000000003,298.46
1386,1,Human,29,0,0,180.48,421.85,142.68999999999997,303.66999999999996
1387,1,Human,30,0,0,184.33,418.97,142.9,305.94000000000005
1388,1,Human,31,0,0,188.27,416.1,143.34,310.39
1389,1,Human,32,0,0,197.15,415.25,135.98,298.0899999999999
1390,1,Human,33,0,0,205.44,413.6,132.3,296.97
1391,1,Human,34,0,0,212.4,414.14,126.57000000000002,290.98
1392,1,Human,35,0,0,218.26,413.69,119.51999999999998,280.43
1393,1,Human,36,0,0,218.94,413.56,121.94999999999999,293.92
1394,1,Human,37,0,0,218.64,412.19,125.14999999999998,311.16
1395,1,Human,38,0,0,222.03,412.56,121.43000000000004,309.88000000000005
1396,1,Human,39,0,0,223.08,412.29,119.16999999999999,311.5199999999999
1397,1,Human,40,0,0,224.66,411.54,118.03,316.75999999999993
1398,1,Human,41,0,0,229.0,411.06,115.70999999999998,320.24999999999994
1399,1,Human,42,0,0,230.41,410.45,114.97,328.59
1400,1,Human,43,0,0,231.88,410.45,112.47000000000003,331.49000000000007
1401,1,Human,44,0,0,233.55,410.47,109.59999999999997,332.52
1402,1,Human,45,0,0,234.97,410.28,105.48999999999998,327.29999999999995
1403,1,Human,46,0,0,233.74,411.56,103.30000000000001,325.2
1404,1,Human,47,0,0,231.25,412.05,100.88999999999999,319.00999999999993
1405,1,Human,48,0,0,223.07,412.25,102.93,321.54999999999995
1406,1,Human,49,0,0,217.16,413.22,104.97,322.03999999999996
1407,1,Human,50,0,0,214.72,414.26,105.95000000000002,319.75
1408,1,Human,51,0,0,206.6,414.87,108.26000000000002,316.4
1409,1,Human,52,0,0,202.08,416.44,110.78999999999999,314.2300000000001
1410,1,Human,53,0,0,199.8,417.25,112.15000000000003,308.72
1411,1,Human,54,0,0,197.96,417.09,114.79999999999998,308.0199999999999
1412,1,Human,55,0,0,198.03,417.91,114.16999999999999,297.92
1413,1,Human,56,0,0,196.84,418.43,116.75000000000003,298.02000000000004
1414,1,Human,57,0,0,195.33,418.39,119.93999999999997,300.59000000000003
1415,1,Human,58,0,0,193.21,418.13,124.33000000000001,307.19999999999993
1416,1,Human,59,0,0,192.39,417.8,126.10000000000002,307.2699999999999
1417,1,Human,60,0,0,190.98,417.22,129.28,311.77
1418,1,Human,61,0,0,189.89,417.21,131.64999999999998,314.57
1419,1,Human,62,0,0,188.76,416.99,133.59000000000003,316.74
1420,1,Human,63,0,0,188.29,417.12,134.47,316.42999999999995
1421,1,Human,64,0,0,187.9,416.94,135.72,317.3999999999999
1422,1,Human,65,0,0,187.53,416.43,136.87999999999997,318.19
1423,1,Human,66,0,0,190.23,415.79,137.47,319.79
1424,1,Human,67,0,0,194.23,415.77,137.29999999999998,321.49
1425,1,Human,68,0,0,196.32,414.43,137.86,326.54
1426,1,Human,69,0,0,198.76,412.83,137.19,329.5299999999999
1427,1,Human,70,0,0,201.35,412.44,135.33,329.96
1428,1,Human,71,0,0,202.78,411.86,133.91,331.39
1429,1,Human,72,0,0,206.42,411.66,130.21,327.8999999999999
1430,1,Human,73,0,0,211.45,411.82,126.36000000000001,324.49999999999994
1431,1,Human,74,0,0,216.78,413.01,121.74999999999997,318.94000000000005
1432,1,Human,75,0,0,219.52,413.7,120.70000000000002,323.8
1433,1,Human,76,0,0,222.79,416.4,117.94000000000003,324.0400000000001
1434,1,Human,77,0,0,225.59,418.76,114.54999999999998,321.89
1435,1,Human,78,0,0,225.5,419.65,112.52999999999997,321.9599999999999
1436,1,Human,79,0,0,227.56,419.96,109.73000000000002,319.76000000000005
1437,1,Human,80,0,0,228.01,419.61,107.20999999999998,317.13
1438,1,Human,81,0,0,221.27,419.46,106.98999999999998,314.81
1439,1,Human,82,0,0,215.63,418.72,109.06,318.22
1440,1,Human,83,0,0,209.21,418.2,112.00000000000003,321.96
1441,1,Human,84,0,0,205.68,419.78,111.81,313.1600000000001
1442,1,Human,85,0,0,201.13,421.73,111.68,302.12
1443,1,Human,86,0,0,198.76,425.17,112.44,293.96
1444,1,Human,87,0,0,195.14,424.58,118.12,301.96999999999997
1445,1,Human,88,0,0,192.1,424.13,123.27000000000001,309.15
1446,1,Human,89,0,0,190.55,424.16,125.46999999999997,308.58
1447,1,Human,90,0,0,192.84,424.37,122.22999999999999,293.42999999999995
1448,1,Human,91,0,0,191.21,425.11,126.16,299.28
